year	crisis_name	source	category	text	label	confidence	how_to_improve	tweet_id_truncated
2013	Queensland floods in Australia	Government	Caution and advice	.@theqldpremier Burnett River Bundaberg is expected to be peaking now #bigwet	Is very CLEAR - easy to understand	0.7978		2.96108127441527E+017
2013	Alberta floods in Canada	Media	Caution and advice	'Move to high ground:' Rapid flooding forces evacuation of High River http://t.co/XFwGrt6lXm #yyc #Calgary #yycre #reincal	Is very CLEAR - easy to understand	0.7872		3.4781273890032E+017
2012	Typhoon Pablo in the Philippines	Media	Caution and advice	'Pablo,' bahagyang humina; posibleng mag-landfall sa Ilocos Norte http://t.co/LKYL2ys9 #PabloPH http://t.co/N7LLHpyy	Is very CLEAR - easy to understand	0.6105	wellsville	2.77541742985744E+017
2013	Singapore haze	Media	Caution and advice	[最新] 截至9点，本地空气污染指数狂飆，达290点，属于非常不健康水平！公众请多留意！#sghaze	Is very UNCLEAR - hard to understand	1	not English|I don't understand this language, so it's difficult for me to say if this tweet is clear or not.|write in english|It's not english|great|There is barely anything posted|Not written in English.|Not in English|Not in English|english|Needs to be in English but to other languages it may be clear.|Not English|Not in English	3.47345950630609E+017
2013	Singapore haze	Media	Caution and advice	[最新] 截至9点，本地空气污染指数狂飆，达290点，属于非常不健康水平！公众请多留意！#sghaze	Is very UNCLEAR - hard to understand	1		3.47345950630609E+017
2013	Australia bushfires	Media	Caution and advice	[NewsUpdate] Australia scorched as 56 fires rage http://t.co/R1rlhUGHf6 #News	Is very CLEAR - easy to understand	0.4963	There could be a comma after "scorched" as its slightly confusing.	3.92353961514004E+017
2013	Manila floods in the Philippines 	Media	Caution and advice	[PHOTO] At 11pm today, tropical Storm #MaringPH has intensified as it remained almost stationary. | via @dost_PAGASA htâ€¦	Is very CLEAR - easy to understand	1		3.69478542041821E+017
2012	Typhoon Pablo in the Philippines 	Media	Caution and advice	@24_Oras: Typhoon Bopha, posibleng maging sinlakas ng Bagyong Sendong kapag pumasok sa PAR ngayong Linggo. Ingitt ...	Is very UNCLEAR - hard to understand	1	Use one language|Not english|great	2.74435948949959E+017
2013	Queensland floods in Australia	Media	Caution and advice	@abcnews Hey there, Bicentennial Bikeway is flooding. Hereâ€™s some pics. #bigwet http://t.co/Dm1DDuId	Is very CLEAR - easy to understand	0.8111		2.95707349115617E+017
2012	Philipinnes floods	Media	Caution and advice	@ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.	Needs slight IMPROVEMENT to be clear	0.6154	Don't know what the first bit means	2.32098111722504E+017
2012	Philipinnes floods	Media	Caution and advice	@ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.	Is very CLEAR - easy to understand	0.8151		2.32464438018597E+017
2013	Manila floods in the Philippines 	Media	Caution and advice	@ANCALERTS: PAGASA: Tropical Storm Maring left PH Area of Responsibility at 7am #MaringPH	Needs slight IMPROVEMENT to be clear	0.5841	Tropical Storm Maring left Philippine Area of Responsibility at 7am|@ANCALERTS: PAGASA: Tropical Storm Maring left Philippines Area of Responsibility at 7am #MaringPH|great	3.69983339140092E+017
2013	Manila floods in the Philippines 	Media	Caution and advice	@ANCALERTS: Tropical Storm Maring continues to enhance the southwest monsoon, which is affecting the whole country #MaringPH	Is very CLEAR - easy to understand	0.794	Tropical Storm Maring intensifies the southwest monsoon affecting whole country #MaringPH	3.69211360673927E+017
2013	Colorado floods in the USA	Government	Caution and advice	@BoulderOEM public info hours now 7 a.m to 9 p.m as situation transitions to long term recovery http://t.co/8G6IuzKJww #Boulderflood	Is very CLEAR - easy to understand	0.5858		3.80486325113463E+017
2012	Colorado wildfires in the USA	Media	Caution and advice	@bretstrelow: Colorado Springs fire approaching Air Force football stadium. This pic, just wow http://t.co/eBm5uC8A un ...	Is very CLEAR - easy to understand	1		2.17805836267962E+017
2013	Australia bushfires	Media	Caution and advice	@CFigueres links NSW bush fires with likely #climate change impacts. Calls for action to reduce emissions http://t.coâ€¦	Is very CLEAR - easy to understand	0.5698		3.9240329910775E+017
2013	Singapore haze	Media	Caution and advice	@ChannelNewsAsia: BREAKING #SGHaze PSI hits 290!	Needs slight IMPROVEMENT to be clear	0.5889	#Singapore haze|BREAKING #SGHaze Singapore Haze hits 290 Pounds per Square Inch (PSI)	3.47342112842457E+017
2013	Alberta floods in Canada	Government	Caution and advice	@cityofcalgary @CalgaryPolice @CalgaryFire #yycflood Hope yyc Fire Department and EMS requested larger twitter traffic limit 4 future emrgnc	Needs slight IMPROVEMENT to be clear	0.5759	Explain yyc|Do not understand|great|Calgary Emergency Services wanted larger twitter traffic 4 future emergencies.	3.47945933209731E+017
2012	Colorado wildfires in the USA	Media	Caution and advice	@csgazette reporting that Colorado Springs is under another red flag warning today. #WaldoCanyonFire	Is very CLEAR - easy to understand	0.5957	Red flag warning for Colorado Springs|wellsville	2.17903953613033E+017
2013	Typhoon Yolanda in the Philippines	Media	Caution and advice	@dost_pagasa: Napaaga po ang oras ng landfall ng Bagyong #YolandaPH. Asahang magla-landfall ito ng 12:00MN-3:00AM bukas, Biyernesâ€¦	Is very UNCLEAR - hard to understand	1	Use one language|Not english|english	3.98151705986367E+017
2012	Typhoon Pablo in the Philippines	Media	Caution and advice	@GEGNewsOnline FUTURECAST [based on PAGASA data]: Tomorrow PM: 140km southwest of Coron, Palawan #PabloPH	Needs slight IMPROVEMENT to be clear	0.343	Typhoon Pablo predicted to strike 140km southwest of Coron, Palawan  tomorrow #PabloPH	2.75891460505731E+017
2013	Alberta floods in Canada	Government	Caution and advice	@j_lefuzz Please visit @cityofcalgary Calgary.ca for the most up-to-date information. #yycflood	Is very CLEAR - easy to understand	0.5972	i wouldn't|For more up to date info on Alberta floods - @cityofcalgary Calgary.ca	3.49171081040523E+017
2012	Philipinnes floods	NGOs	Caution and advice	@loyoung: If you need any help please use the hashtag #RescuePH. RT please!	Is very CLEAR - easy to understand	1		2.32793778971353E+017
